FAMILLE_METIER;MEF;DATE_OUVERTURE;DATE_FERMETURE;DATE_INTERVENTION;N_COMMENTAIRE
001;2472000631;01/09/2019;;26/04/2023;
Métiers des productions;2762111432;01/09/2019;;31/01/2019;
Métiers du conseil vente;2762120333;01/09/2011;;19/07/2013;
Métiers des productions;2762111433;01/09/2020;;31/01/2019;
Métiers des productions;2762121032;01/09/2011;;19/07/2013;
Métiers de la nature - jardin - paysage - forêt;2762130332;01/09/2011;;19/07/2013;
Métiers du conseil vente;2762120332;01/09/2010;;19/07/2013;
Métiers des productions;2762121133;01/09/2013;;19/07/2013;
Métiers de la nature - jardin - paysage - forêt;2762130333;01/09/2012;;19/07/2013;
Métiers des productions;2762121033;01/09/2012;;19/07/2013;
Métiers du conseil vente;2762210331;01/09/2009;;05/04/2021;
Métiers de l'alimentation-bio-industrie-laboratoire;2762210431;01/09/2009;;05/04/2021;
Métiers des productions;2762100132;01/09/2010;;19/07/2013;
Métiers des productions;2762100133;01/09/2011;;19/07/2013;
Métiers de la nature - jardin - paysage - forêt;2762130232;01/09/2010;;19/07/2013;
Métiers de l'alimentation-bio-industrie-laboratoire;2762210532;01/09/2010;;19/07/2013;
Métiers de la nature - jardin - paysage - forêt;2762140532;01/09/2010;;19/07/2013;
Métiers de la nature - jardin - paysage - forêt;2762130233;01/09/2011;;19/07/2013;
Métiers de l'alimentation-bio-industrie-laboratoire;2762210533;01/09/2011;;19/07/2013;
Métiers de la nature - jardin - paysage - forêt;2762140533;01/09/2011;;19/07/2013;
Métiers des productions;2762100432;01/09/2017;;30/03/2017;
Métiers des productions;2762100433;01/09/2018;;30/03/2017;
Métiers des productions;2762111333;01/09/2018;;30/03/2017;
Métiers des productions;2762111332;01/09/2017;;30/03/2017;
Métiers des productions;2762111231;01/09/2016;;05/04/2021;
009;2472530432;01/09/2014;;28/02/2020;
009;2472530332;01/09/2014;;28/02/2020;
Métiers de la nature - jardin - paysage - forêt;2762140431;01/09/2009;;05/04/2021;
009;2472530532;01/09/2014;;28/02/2020;
009;2472530233;01/09/2015;;11/05/2021;
009;2472530433;01/09/2015;;11/05/2021;
009;2472530333;01/09/2015;;11/05/2021;
009;2472530533;01/09/2015;;11/05/2021;
012;2472230333;01/09/2011;;26/04/2023;
Métiers du conseil vente;2762140733;01/09/2021;;03/04/2020;
Métiers du conseil vente;2762140732;01/09/2020;;03/04/2020;
004;2472501133;01/09/2021;;26/04/2023;
009;2472530232;01/09/2014;;28/02/2020;
010;2472210632;01/09/2012;;26/04/2023;
Métiers des productions;2762120433;01/09/2011;31/08/2024;25/03/2022;
Métiers des productions;2762120432;01/09/2010;31/08/2023;25/03/2022;
Métiers du conseil vente;2762210833;01/09/2022;;05/05/2022;
Métiers du conseil vente;2762210832;01/09/2021;;05/05/2022;
Métiers des productions;2762121132;01/09/2012;;15/09/2022;
014;2472551932;01/09/2024;;26/04/2023;
006;2472210533;01/09/2010;;26/04/2023;
001;2472330433;01/09/2008;;26/04/2023;
012;2472500632;01/09/2008;;26/04/2023;
012;2472500633;01/09/2008;;26/04/2023;
001;2472540632;01/09/2008;;26/04/2023;
001;2472540633;01/09/2008;;26/04/2023;
013;2472340732;01/09/2008;;26/04/2023;
015;2472340632;01/09/2008;;26/04/2023;
008;2472300432;01/09/2008;;26/04/2023;
008;2472300532;01/09/2008;;26/04/2023;
001;2472320332;01/09/2008;;26/04/2023;
008;2472310332;01/09/2008;;26/04/2023;
013;2472340532;01/09/2008;;26/04/2023;
012;2472510832;01/09/2008;;26/04/2023;
012;2472510833;01/09/2008;;26/04/2023;
001;2472310232;01/09/2008;31/08/2024;26/04/2023;
004;2472501033;01/09/2021;;26/04/2023;
001;2472330333;01/09/2008;;26/04/2023;
013;2472340733;01/09/2008;;26/04/2023;
015;2472340633;01/09/2008;;26/04/2023;
001;2472320333;01/09/2008;;26/04/2023;
008;2472310333;01/09/2008;;26/04/2023;
013;2472340533;01/09/2008;;26/04/2023;
004;2473111233;01/09/2021;;26/04/2023;
014;2472270632;01/09/2022;;26/04/2023;
007;2473360432;01/09/2021;;26/04/2023;
014;2472551732;01/09/2022;;26/04/2023;
012;2472501432;01/09/2022;;26/04/2023;
004;2473111333;01/09/2021;;26/04/2023;
014;2472270732;01/09/2022;;26/04/2023;
014;2472270733;01/09/2023;;26/04/2023;
014;2472270633;01/09/2023;;26/04/2023;
007;2473360433;01/09/2022;;26/04/2023;
011;2472522231;01/09/2021;;26/04/2023;
014;2472551733;01/09/2023;;26/04/2023;
012;2472501332;01/09/2022;;26/04/2023;
012;2472501333;01/09/2023;;26/04/2023;
012;2472501433;01/09/2023;;26/04/2023;
004;2473111332;01/09/2020;;26/04/2023;
004;2472130432;01/09/2020;;26/04/2023;
004;2472501032;01/09/2020;;26/04/2023;
011;2472521932;01/09/2017;;26/04/2023;
011;2472521933;01/09/2018;;26/04/2023;
011;2472522033;01/09/2018;;26/04/2023;
011;2472522133;01/09/2018;;26/04/2023;
007;2473360531;01/09/2020;;26/04/2023;
009;2472530731;01/09/2020;;26/04/2023;
013;2472340931;01/09/2021;;26/04/2023;
006;2472210731;01/09/2020;;26/04/2023;
004;2472000731;01/09/2019;;26/04/2023;
012;2472010331;01/09/2021;;26/04/2023;
010;2473340431;01/09/2020;;26/04/2023;
008;2472300731;01/09/2020;;26/04/2023;
005;2473221031;01/09/2020;;26/04/2023;
015;2472010431;01/09/2021;;26/04/2023;
015;2472010233;01/09/2014;;26/04/2023;
004;2472501132;01/09/2020;;26/04/2023;
012;2472541132;01/09/2019;;26/04/2023;
012;2472541133;01/09/2020;;26/04/2023;
012;2472230332;01/09/2010;;26/04/2023;
011;2472522032;01/09/2017;;26/04/2023;
011;2472522132;01/09/2017;;26/04/2023;
011;2472521432;01/09/2015;;26/04/2023;
011;2472521433;01/09/2016;;26/04/2023;
011;2472521532;01/09/2015;;26/04/2023;
011;2472521533;01/09/2016;;26/04/2023;
011;2472521632;01/09/2015;;26/04/2023;
011;2472521633;01/09/2016;;26/04/2023;
014;2472551032;01/09/2017;;26/04/2023;
005;2473220833;01/09/2016;;26/04/2023;
005;2473220732;01/09/2015;;26/04/2023;
005;2473220733;01/09/2016;;26/04/2023;
001;2472320532;01/09/2014;;26/04/2023;
001;2472320533;01/09/2015;;26/04/2023;
001;2472320632;01/09/2014;;26/04/2023;
001;2472320633;01/09/2015;;26/04/2023;
001;2472320732;01/09/2014;;26/04/2023;
001;2472320733;01/09/2015;;26/04/2023;
015;2472010232;01/09/2013;;26/04/2023;
015;2472200432;01/09/2013;;26/04/2023;
015;2472200433;01/09/2014;;26/04/2023;
005;2473220832;01/09/2015;;26/04/2023;
006;2472210432;01/09/2010;;26/04/2023;
006;2472210532;01/09/2010;;26/04/2023;
010;2473340332;01/09/2012;;26/04/2023;
010;2473340333;01/09/2013;;26/04/2023;
010;2472210633;01/09/2013;;26/04/2023;
013;2472340832;01/09/2012;;26/04/2023;
013;2472340833;01/09/2013;;26/04/2023;
005;2473220632;01/09/2012;;26/04/2023;
005;2473220633;01/09/2013;;26/04/2023;
006;2473120932;01/09/2010;;26/04/2023;
001;2472330432;01/09/2008;;26/04/2023;
006;2472210433;01/09/2010;;26/04/2023;
001;2472330332;01/09/2008;;26/04/2023;
006;2473120933;01/09/2010;;26/04/2023;
008;2472300433;01/09/2009;;26/04/2023;
008;2472300533;01/09/2009;;26/04/2023;
012;2472230232;01/09/2000;;26/04/2023;
012;2472230233;01/09/2000;;26/04/2023;
002;2473000433;01/09/2022;;26/04/2023;
002;2473110632;01/09/2010;;26/04/2023;
003;2473121232;01/09/2020;;26/04/2023;
003;2473121233;01/09/2021;;26/04/2023;
003;2473121131;01/09/2019;;26/04/2023;
014;2472551033;01/09/2018;;26/04/2023;
003;2473121332;01/09/2020;;26/04/2023;
003;2473121333;01/09/2021;;26/04/2023;
003;2473121432;01/09/2020;;26/04/2023;
003;2473121433;01/09/2021;;26/04/2023;
002;2473111432;01/09/2021;;26/04/2023;
002;2473111433;01/09/2022;;26/04/2023;
002;2473110633;01/09/2011;;26/04/2023;
007;2473360632;01/09/2023;;26/04/2023;
007;2473360633;01/09/2024;;26/04/2023;
002;2473000331;01/09/2019;;26/04/2023;
014;2472000831;01/09/2021;;26/04/2023;
015;2472501233;01/09/2023;;26/04/2023;
001;2472310233;01/09/2008;31/08/2025;26/04/2023;
002;2473000432;01/09/2021;;26/04/2023;
004;2473111232;01/09/2020;;26/04/2023;
015;2472501232;01/09/2022;;26/04/2023;
Métiers de l'alimentation-bio-industrie-laboratoire;2472200332;01/09/2010;31/08/2024;25/05/2023;
Métiers de l'alimentation-bio-industrie-laboratoire;2472200333;01/09/2011;31/08/2025;25/05/2023;